area,house_area,house_type,orientation,price,rent_style,title,url
萧山,65㎡,2室2厅,朝南,3500,整租,钱江世纪城口水天城利二花苑利一家园嘉润公馆旁丽晶国际2房,
滨江,130㎡,3室2厅,朝南,5000,整租,"诚租,寰宇天下钱江新城,一个好到没话说的好房子,大小都有",
上城,150㎡,3室2厅,朝南北,10000,整租,"娃哈哈勇进全明户型中高层,配套齐全,有固定车位,4号线!",
上城,156㎡,3室2厅,朝南北,12000,整租,春江花月 精装三房 豪装带地暖 家具 求素质住户,
上城,68㎡,1室1厅,朝南,5500,整租,"工作的白领,小夫妻入住正好合适!会所楼上,房间,客厅朝南",
江干,180㎡,3室2厅,朝南北,14000,整租,城市之星开发商样板房 精品东边套 大三房 两个车位 全新出租,
余杭,84㎡,2室1厅,朝南,2200,整租,南大街56号小区 2室1厅1卫,
拱墅,30㎡,1户合租,朝北,2100,合租次卧,吉兴公寓单间精装修东西全陪随时可以看的都景公寓,
西湖,4505㎡,9室5厅,朝南北,100000,整租,"出租西湖景区独幢4500方,8000方花园,自带车位业态不限",
江干,15㎡,3室1厅,朝南,1000,整租,蓝桥名苑 简单装修 东西都有 随时可以入住适合一家人,
西湖,89㎡,3室2厅,朝南,5200,整租,物业服务好 精装修 高效实用 唯美品质 商圈发达 近西溪首座阿里,
余杭,127㎡,3室2厅,朝南,4200,整租,"适合朋友合住,家电齐全仅仅需要4200就能3室二厅大房间",
滨江,53㎡,1室1厅,朝南北,2000,整租,精装修 低价出租 随时看房 电话 15715712562,
临安,83㎡,2室2厅,朝南,1400,整租,"1、户型正气,使用率超赞,价格, 2、家具家电齐全,装修用",
江干,136㎡,3室2厅,朝南北,8500,整租,钱江新城 金基晓庐 精装三房 全新装修 南北通透 价格实惠,
西湖,130㎡,3室2厅,朝南,4000,整租,"紫金文苑,位于印象城旁边,城西银泰,房东出租",
西湖,136㎡,3室2厅,朝南,3800,整租,"申花西城年华,古墩路沿线,城西银泰城,浙大紫金港,短租,月付",
萧山,130㎡,3室2厅,朝南,3500,整租,三水一生 时代大道旁精装修3房2厅2卫 刚刚挂牌出租停车方便,
萧山,89㎡,2室1厅,朝南北,3000,整租,隐龙湾 整套两室一厅 价格 干净清爽 图片真实,
萧山,90㎡,2室2厅,朝南北,3100,整租,江南摩卡 整租两房 随时看房 精装诚心出租 楼层好带大阳台,
西湖,4505㎡,9室5厅,朝南北,100000,整租,"西湖景区独幢,占地18亩,业态不限,无转让费,真实房要的速联",
上城,105㎡,3室2厅,朝南,6600,整租,"金色家园精装3房,,胜利,勇进旁,滨江品质,交通",
江干,110㎡,2室2厅,朝南,7000,整租,"日信国际 跃层 ,口,配套全欧式家具 诚心租",
上城,112㎡,2室2厅,朝南北,5500,整租,精装二居室 (家私配置齐全),
滨江,139㎡,3室2厅,朝南北,5500,整租,贺田尚城海创中控杭二中旁边欧式装修三房出租家具家电齐全,
滨江,89㎡,2室2厅,朝南北,3600,整租,海创 中控 一线江景钱塘大观 贺田尚城精装两室 随时入住,
滨江,56㎡,1室1厅,朝南北,2800,整租,海创中控杭二中钱江湾花园精装一室 家电家具齐全看房随时电话联,
滨江,119㎡,3室2厅,朝南北,4200,整租,促销 滨江杭二浦沿物美华润中控海创阿里网易观邸国际精装三房,
余杭,89㎡,3室2厅,朝南北,5000,整租,"富力西溪悦居,开发商精装修,家具家电齐全,",
拱墅,66㎡,2室1厅,朝南,4500,整租,吉兴公寓三宝郡庭精装修2室一厅东西全配随时可以看得,
临安,93㎡,3室2厅,朝南,2800,整租,越秀星汇城 2室可自带家电 可做仓库 随时看房 急出租,
上城,365㎡,5室3厅,朝南北,40000,整租,金色海岸 跃层 诚心出租 价格面议 含车位 5房 5房,
余杭,153㎡,4室4厅,朝南北,3500,整租,星都家园 4室4厅2卫,
临安,123㎡,3室2厅,朝南北,2100,整租,三房两厅两卫 低价出租 等你来住 包物业,
滨江,48㎡,1室1厅,朝南北,2000,整租,精装修 低价出租 随时看房 电话15715712562,
临安,142㎡,3室2厅,朝南北,2500,整租,越秀星汇城 大三房 多说无益 速速电话联系,
余杭,90㎡,2室2厅,朝南,3500,整租,阿里旁 海创园 同花顺 好房横空出世!,
余杭,108㎡,3室2厅,朝南北,5000,整租,"阿里西门旁,小区精装带地暖,麦当劳,随时入住!",
西湖,89㎡,3室2厅,朝南,4200,整租,西溪谷西溪首座公元里中海西溪华府房东自住精装修!,
余杭,58㎡,1室1厅,朝南,3000,整租,"西溪堂 精装单身公寓 西溪永乐城,欧美金融城家电家具新配齐全",
余杭,52㎡,3室1厅,朝南,3800,整租,西溪首座 淘宝城 梦想小镇精装修,
余杭,48㎡,2室1厅,朝南,3500,整租,未来科技城海创园 精装公寓 淘宝城,
余杭,120㎡,4室1厅,朝南北,3800,整租,众安理想湾 4室 2卫 简单装修设备齐全,
余杭,89㎡,3室1厅,朝南北,2500,整租,中铁逸都 3室2厅 精装修 诚心出租,
余杭,180㎡,4室2厅,朝南北,4000,整租,华城格之林 4室2厅180方 精装出租带车位,
余杭,89㎡,3室2厅,朝西,2800,整租,御华府 3室2厅 精装修 2800,
西湖,89㎡,2室2厅,朝南北,4600,整租,成熟配套 生活方便 闹中取静 精致两房 近西溪首座 湿地,
拱墅,40㎡,1室1厅,朝南,2400,整租,和睦信义坊促销美都广场小面积办公单身公寓居家精装修出租,
滨江,63㎡,1室1厅,朝南北,3000,整租,风尚蓝湾逸天广场天鸿君邑杭二中滨江精装原户型物美中医药宝龙城,
江干,89㎡,3室2厅,朝南北,3900,整租,泊林印象 环境优美 客运口 金雅苑 泊林公寓 小三房,
江干,113㎡,3室2厅,朝南北,4250,整租,"柏林印象,九洲芳园,圣奥领寓全明3房,燃气烧饭",
江干,89㎡,2室2厅,朝南北,3500,整租,泊林印象 泊林公寓 金雅苑 左邻右舍 精装两房 近客运,
西湖,89㎡,2室2厅,朝南,3400,整租,"协安上郡,申花精装两房3400近银泰城紫金港,文一街",
西湖,89㎡,2室2厅,朝南,3600,整租,益乐路与丰潭路交叉、城西银泰、精装2房、温馨舒适,
江干,16㎡,4室2厅,朝南,1500,整租,"金雅苑,家具家电齐全,交通方便 近",
江干,63㎡,1室1厅,朝东南,6500,整租,万象城出售公寓120万一套 一室一厅 详细电话咨询,
余杭,60㎡,1室1厅,朝南北,750,整租,金鼎公寓 1房 750元,
余杭,123㎡,4室2厅,朝南北,3100,整租,凯文杭庄 4室2厅2卫 3100带车位 精美生活实用装修出租,
余杭,80㎡,2室2厅,朝南北,1700,整租,顺达花苑 2房2厅简装 房东 诚心出租,
余杭,89㎡,3室2厅,朝南北,3100,整租,华元欢乐城 3室2厅临平南站,
临安,89㎡,2室2厅,朝南,1900,整租,"星汇城总占地面积为1050亩,总建筑面积约为150万方,项目整体分",
拱墅,40㎡,1户合租,朝南,2300,合租主卧,吉兴公寓单价带独立卫生间晶状体塘河北村旁,
上城,149㎡,3室2厅,朝南北,8500,整租,"春江花月,园区,江景房,家具齐全,房东诚心出租",
滨江,48㎡,1室1厅,朝南北,2000,整租,精装修 低价出租 家电齐全 联系电话15715712562,
江干,136㎡,3室2厅,朝南北,7500,整租,金基晓庐 房东诚心整租三房 价格面议 豪华装修 带车位哦,
临安,123㎡,3室2厅,朝南,2300,整租,三房 干净整洁 温馨如家,
余杭,55㎡,2室2厅,朝南,2500,整租,精装修 看房有钥匙 房东诚心卖,
余杭,89㎡,2室1厅,朝南,2800,整租,康城国际 2室1厅1卫,
江干,80㎡,1室1厅,朝南北,8000,整租,"江边一线酒店公寓,装修好,家具家电齐全,可直接入住",
西湖,53㎡,1室1厅,朝南北,4200,整租,西溪蝶园万科精装修 不靠马路 采光好 小户型 一室一厅 近阿里,
拱墅,66㎡,2室1厅,朝南,4200,整租,吉兴公寓都景公寓精装修2室一厅东西全陪随时可以看的不要错过。,
余杭,83㎡,2室1厅,朝南北,2500,整租,星桥惠都家园中装修两房低价出租,
余杭,42㎡,2室1厅,朝南北,2500,整租,这么低的价位 你还不来吗 先来先得 房东诚心出租,
西湖,89㎡,3室2厅,朝南北,4300,整租,融创河滨之城 房东自主装修 3房 随时入住 随时看房阿里巴巴,
西湖,89㎡,3室2厅,朝南北,5500,整租,学军 西溪首座 西溪谷 蝶园旁 三房 随时看房,
拱墅,40㎡,1室1厅,朝南,2400,整租,和睦信义坊促销美都广场小面积办公单身公寓居家精装修出租,
临安,89㎡,2室2厅,朝南,2500,整租,温馨的住房!给你不一样的温暖!越秀星汇城!,
余杭,62㎡,2室1厅,朝南,2000,整租,"吉房出租,看房方便,方家弄小区 2000元 2室1厅1卫 普",
江干,184㎡,3室2厅,朝东南,14000,整租,钱江新城 豪宅全新出租 城市之星精品大三房 门口就是站,
西湖,89㎡,2室2厅,朝南北,4600,整租,成熟配套 生活方便 闹中取静 精致两房 近西溪首座 湿地,
余杭,90㎡,3室2厅,朝南北,3800,整租,"爵士花园3室1厅3800元出租了,欢迎上班族",
滨江,40㎡,1室1厅,朝南北,1800,整租,海创 中控 超级星期天原户型精装公寓 家电家具齐全随时入住,
江干,95㎡,2室2厅,朝南,3500,整租,九堡新江花园 精装两房 房东自住 随时看房入住,
江干,130㎡,3室2厅,朝南北,4000,整租,红苹果家园 九洲芳园 大三房双阳台中等装修可拎包 可做宿,
江干,15㎡,3室1厅,朝南,1000,整租,蓝桥名苑 简单装修 东西都有 随时可以入住适合一家人,
江干,60㎡,2室1厅,朝南,2800,整租,九堡客运金座鑫运时代可办公可居家精装小两房,
江干,66㎡,2室1厅,朝南,2100,整租,鑫运时代金座 跃层办好房出租 居住两不误 随时可以看房,
江干,90㎡,2室2厅,朝南北,3200,整租,客运站 左邻右舍 泊林印象 金雅苑 精装2房,
江干,15㎡,3室1厅,朝南北,1000,整租,蓝桥名苑 简单装修 东西都有 随时可以入住适合一家人,
江干,110㎡,3室2厅,朝南,3700,整租,泊林印象 促销 价格 先到先得,
江干,60㎡,2室1厅,朝南北,2300,整租,鑫运时代 东城 东大门公寓2房出租 家具家电齐全 独卫,
